track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
Put Your Records On,Ritt Momney,60,Put Your Records On,1,0.399,0.492,-10.777,0,6,0.0538,0.058,0.00101,0.11,0.159,91.066,4,210463
Mood Swings (feat. Lil Tjay),Pop Smoke,83,Shoot For The Stars Aim For The Moon,78,0.48,0.602,-6.335,0,10,0.368,0.487,0,0.0848,0.269,179.798,4,213333
Therefore I Am,Billie Eilish,88,Therefore I Am,75,0.889,0.34,-7.773,0,11,0.0697,0.218,0.13,0.055,0.716,94.009,4,174321
Wild & Free,Nander,37,Wild & Free,39,0.474,0.722,-6.209,1,2,0.0355,0.0604,0,0.584,0.274,155.941,4,149231
Glad You Came,Braaheim,59,Glad You Came,48,0.732,0.919,-4.634,0,6,0.115,0.0271,0.000866,0.375,0.136,125.997,4,190879
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,83,Shoot For The Stars Aim For The Moon,80,0.823,0.586,-6.606,0,6,0.2,0.114,0,0.193,0.347,125.971,4,190476
Backyard Boy,Claire Rosinkranz,63,BeVerly Hills BoYfRiEnd,0,0.819,0.642,-7.037,1,5,0.189,0.336,0,0.0735,0.452,138.026,4,129241
TKN (feat. Travis Scott),ROSALÍA,83,TKN (feat. Travis Scott),72,0.776,0.509,-6.266,0,0,0.467,0.192,1.49E-06,0.115,0.485,94.634,4,129371
Say It Right,Coopex,60,Say It Right,60,0.712,0.816,-6.56,0,5,0.0447,0.152,0.0519,0.24,0.449,125.976,4,128095
Without You,Baby Bluu,31,Without You,49,0.625,0.698,-5.804,1,0,0.146,0.0107,0,0.156,0.204,120.119,4,132625
Play Date,Melanie Martinez,78,Cry Baby (Deluxe Edition),78,0.68,0.729,-5.077,1,5,0.0475,0.612,0,0.224,0.446,123.97,4,179867
Freak,Doja Cat,88,Freak,72,0.688,0.716,-5.702,1,7,0.0385,0.0969,0,0.0989,0.373,116.912,3,284480
Falling Down,Andrew Nagy,32,Falling Down,38,0.574,0.852,-9.051,1,5,0.0438,0.032,0.0705,0.136,0.0363,123.005,4,165854
Wait a Minute!,WILLOW,76,ARDIPITHECUS,86,0.764,0.705,-5.279,0,3,0.0278,0.0371,1.94E-05,0.0943,0.672,101.003,4,196520
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,53,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],65,0.824,0.854,-5.312,1,8,0.177,0.016,4.95E-05,0.117,0.896,95.114,4,210329
Over You,Myrrhe,26,Over You,37,0.863,0.325,-7.864,1,0,0.341,0.667,1.71E-05,0.1,0.537,98.948,4,126314
FLIP THE SWITCH (feat. Drake),Quavo,79,QUAVO HUNCHO,67,0.853,0.637,-5.924,0,3,0.331,0.129,0,0.267,0.496,86.048,4,156195
The Boss,Coopex,60,The Boss,47,0.734,0.789,-5.328,1,11,0.243,0.0809,0.000115,0.215,0.258,125.992,4,133810
Party Girl,StaySolidRocky,59,Party Girl,71,0.728,0.431,-9.966,0,6,0.0622,0.749,0,0.0996,0.629,130.022,4,147800
Love Me Again,CPX,52,Love Me Again,46,0.798,0.824,-5.642,0,0,0.413,0.206,0.000308,0.436,0.242,125,4,134400
Renee,SALES,61,Renee,65,0.924,0.386,-8.183,1,9,0.0548,0.755,0.00253,0.118,0.424,108.957,4,179125
Don't Rush (feat. Headie One),Young T & Bugsey,60,Don't Rush (feat. Headie One),63,0.961,0.461,-8.684,1,9,0.27,0.202,0.00402,0.162,0.324,108.028,4,207640
Right Here Waiting,Boostereo,52,Right Here Waiting,0,0.639,0.704,-7.332,1,10,0.0352,0.0646,0,0.445,0.285,115.052,4,180522
THE SCOTTS,THE SCOTTS,58,THE SCOTTS,76,0.716,0.537,-7.648,0,0,0.0514,0.233,0,0.157,0.28,129.979,4,165978
Cool for the Summer,Alex D'Rosso,56,Cool for the Summer,49,0.805,0.871,-5.716,1,6,0.286,0.177,7.50E-06,0.266,0.443,136.01,4,171696
Kiss Me,Lucas Estrada,63,Kiss Me,47,0.588,0.685,-8.08,1,8,0.0624,0.374,0.000155,0.581,0.122,107.938,4,146669
Red Flag,Pia Baris,18,Red Flag,31,0.715,0.706,-5.804,0,4,0.383,0.326,0.000231,0.525,0.348,126.069,4,137431
One too Many Times,JRL,44,One Too Many Times,47,0.721,0.778,-6.53,0,8,0.0459,0.00262,7.29E-05,0.111,0.449,122.023,4,141636
Boys Ain't Shit,SAYGRACE,58,Boys Ain't Shit,64,0.826,0.615,-4.729,0,1,0.137,0.435,0.00631,0.334,0.841,102.999,4,175884
Boss Bitch,Doja Cat,88,Boss Bitch,78,0.707,0.955,-4.593,0,10,0.222,0.127,0,0.202,0.575,125.989,4,134240
Only Girl,Coopex,60,Only Girl,52,0.792,0.832,-4.406,0,11,0.0397,0.367,0.00164,0.198,0.186,127.983,4,146465
Tap In,Saweetie,73,Tap In,67,0.954,0.696,-7.117,0,10,0.204,0.00576,0.000498,0.0754,0.432,100.036,4,139413
Forever,Gianni Blu,46,Forever,54,0.753,0.75,-4.314,1,11,0.0817,0.00421,3.47E-05,0.0775,0.266,124.998,4,167040
Rather Be,Cabuizee,40,Rather Be,46,0.706,0.895,-3.879,0,8,0.148,0.299,0,0.48,0.556,120.978,4,163884
Savage,Megan Thee Stallion,82,Suga,70,0.843,0.741,-5.609,1,11,0.334,0.0252,0,0.096,0.68,168.983,4,155497
Blueberry Faygo,Lil Mosey,70,Certified Hitmaker,75,0.774,0.554,-7.909,1,0,0.0383,0.207,0,0.132,0.349,99.034,4,162547
Break My Heart,Dua Lipa,88,Future Nostalgia,78,0.73,0.729,-3.434,0,4,0.0884,0.167,1.39E-06,0.349,0.467,113.011,4,221820
On My Way,Alex Alexander,46,On My Way,40,0.67,0.544,-5.506,1,4,0.0252,0.0429,0,0.0926,0.772,96.039,3,200840
Astronomia,Vicetone,63,Astronomia,60,0.653,0.945,-2.634,1,5,0.096,0.00561,0.915,0.439,0.325,126.093,4,198095
The Box,Roddy Ricch,80,Please Excuse Me for Being Antisocial,81,0.896,0.586,-6.687,0,10,0.0559,0.104,0,0.79,0.642,116.971,4,196653
What's up?,LeXxìv,32,What's up?,43,0.641,0.597,-7.06,1,9,0.033,0.000399,0,0.367,0.394,120.06,4,186000
Supalonely,BENEE,67,STELLA & STEVE,72,0.863,0.631,-4.689,1,7,0.0534,0.305,3.04E-05,0.123,0.817,128.977,4,223480
Toosie Slide,Drake,95,Dark Lane Demo Tapes,69,0.83,0.49,-8.82,0,1,0.209,0.289,3.04E-06,0.113,0.845,81.604,4,247059
Don't Start Now,Dua Lipa,88,Don't Start Now,79,0.794,0.793,-4.521,0,11,0.0842,0.0125,0,0.0952,0.677,123.941,4,183290
Be Kind (with Halsey),Marshmello,83,Be Kind (with Halsey),77,0.63,0.633,-7.088,1,4,0.0457,0.00776,0,0.0541,0.452,93.995,4,172762
Intentions (feat. Quavo),Justin Bieber,90,Changes,77,0.806,0.546,-6.637,1,9,0.0575,0.3,0,0.102,0.874,147.986,4,212867
Old Times,Xtinctor,21,Old Times,38,0.581,0.718,-5.631,1,1,0.0851,0.0195,0,0.075,0.149,92.992,4,184516
"Hey, Soul Sister",LANDR,41,"Hey, Soul Sister",41,0.642,0.725,-7.89,1,11,0.0571,0.192,0,0.153,0.134,105.101,4,196583
Later Bitches,The Prince Karma,50,Later Bitches,49,0.769,0.518,-6.563,1,8,0.102,0.000573,0.108,0.342,0.504,121.116,4,247976
Life Is Good (feat. Drake),Future,87,Life Is Good (feat. Drake),77,0.676,0.609,-5.831,0,2,0.481,0.0706,0,0.152,0.508,142.037,4,237735
WHATS POPPIN,Jack Harlow,84,WHATS POPPIN,4,0.923,0.604,-6.671,0,11,0.245,0.017,0,0.272,0.826,145.062,4,139741
Let Her Go,LANDR,41,Let Her Go,44,0.712,0.803,-7.206,1,7,0.0276,0.00537,9.81E-05,0.307,0.308,120.018,4,201005
Sunday Best,Surfaces,71,Where the Light Is,77,0.878,0.525,-6.832,1,5,0.0578,0.183,0,0.0714,0.694,112.022,4,158571
DÁKITI,Dame Dame,48,DÁKITI,47,0.726,0.815,-5.092,0,4,0.101,0.206,0,0.631,0.627,121.975,4,147367
Say So,Doja Cat,88,Hot Pink,80,0.787,0.673,-4.583,0,11,0.159,0.264,3.35E-06,0.0904,0.779,110.962,4,237893
In Your Eyes,The Weeknd,93,After Hours,79,0.667,0.719,-5.371,0,7,0.0346,0.00285,8.10E-05,0.0736,0.717,100.021,4,237520
Falling,Trevor Daniel,66,Falling,15,0.785,0.431,-8.756,0,10,0.0364,0.123,0,0.0887,0.236,127.085,4,159382
Let It Go,Dame Dame,48,Let It Go,38,0.769,0.796,-7.37,1,8,0.0564,0.0279,1.97E-06,0.0871,0.681,122.039,4,130286
death bed (coffee for your head),Powfu,71,death bed (coffee for your head),82,0.726,0.431,-8.765,0,8,0.135,0.731,0,0.696,0.348,144.026,4,173333
That Way,Lil Uzi Vert,85,That Way,62,0.719,0.611,-5.01,0,7,0.0403,0.0582,0,0.155,0.489,129.962,4,212354
Baby I'm Yours,Breakbot,57,By Your Side,69,0.829,0.792,-3.755,0,2,0.0668,0.726,5.83E-06,0.122,0.758,118.05,4,215507
BOP,DaBaby,82,KIRK,76,0.769,0.787,-3.909,1,11,0.367,0.189,0,0.129,0.836,126.77,4,159715
OUT WEST (feat. Young Thug),JACKBOYS,65,JACKBOYS,77,0.802,0.591,-4.895,1,8,0.225,0.0104,0,0.196,0.309,139.864,4,157712
Blinding Lights,The Weeknd,93,Blinding Lights,18,0.513,0.796,-4.075,1,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,4,201573
When the Sun Goes Down,Martin van Lectro,39,When the Sun Goes Down,37,0.544,0.748,-5.556,1,5,0.0865,0.0646,0,0.519,0.391,123.752,4,148999
Skechers,DripReport,54,Skechers,0,0.907,0.332,-9.828,1,1,0.0836,0.326,0.0168,0.109,0.277,99.998,4,106031
ROXANNE,Arizona Zervas,66,ROXANNE,78,0.621,0.601,-5.616,0,6,0.148,0.0522,0,0.46,0.457,116.735,5,163636
Shooting Stars,Bag Raiders,53,Bag Raiders (Deluxe),0,0.649,0.716,-6.232,1,11,0.0445,0.0879,0.03,0.0824,0.503,124.968,4,235813
The Git Up,Blanco Brown,60,The Git Up,3,0.847,0.678,-8.635,1,9,0.109,0.0669,0,0.274,0.811,97.984,4,200594
Payphone,Faruk Orman,43,Payphone,45,0.721,0.707,-7.953,1,11,0.224,0.563,6.40E-06,0.338,0.462,125.07,4,128825
I Don't Care (with Justin Bieber),Ed Sheeran,90,I Don't Care (with Justin Bieber),78,0.798,0.675,-5.041,1,6,0.0442,0.0912,0,0.0894,0.842,101.956,4,219947
hot girl bummer,blackbear,80,hot girl bummer,5,0.778,0.559,-7.109,0,6,0.0776,0.128,0,0.399,0.678,129.989,1,185093
Demons,CPX,52,Demons,56,0.7,0.848,-5.473,1,8,0.217,0.317,0,0.349,0.29,124.056,4,129693
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,85,Red Pill Blues (Deluxe),74,0.851,0.541,-6.825,1,0,0.0505,0.568,0,0.13,0.448,124.959,4,235545
Without Me,Halsey,83,Without Me,77,0.752,0.488,-7.05,1,6,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4,201661
Plug Walk,Rich The Kid,67,The World Is Yours,70,0.876,0.519,-6.531,1,11,0.143,0.202,0,0.108,0.158,94.981,4,175230
California Dreaming,Jorm,42,California Dreaming,53,0.717,0.865,-4.126,0,1,0.0307,0.0222,0.0012,0.605,0.487,124.048,4,152323
Rockstar,Ilkay Sencan,61,Rockstar,69,0.771,0.826,-3.978,1,11,0.0604,0.142,0.03,0.145,0.185,100.012,4,212280
Falling for U,Peachy!,57,Falling for U,1,0.516,0.358,-12.018,0,8,0.424,0.743,1.30E-06,0.0813,0.397,79.509,4,124000
Lovely,Alfons,58,Lovely,45,0.504,0.677,-6.954,0,4,0.064,0.316,0.00127,0.268,0.0375,128.078,4,159023
The Less I Know The Better,Tame Impala,78,Currents,84,0.64,0.74,-4.083,1,4,0.0284,0.0115,0.00678,0.167,0.785,116.879,4,216320
Dandelions,Ruth B.,75,Safe Haven,90,0.609,0.692,-2.958,1,1,0.0259,0.0157,0,0.0864,0.454,116.959,3,233720
Jimmy Cooks (feat. 21 Savage),Drake,95,"Honestly, Nevermind",92,0.529,0.673,-4.711,1,0,0.175,0.000307,2.41E-06,0.093,0.366,165.921,4,218365
Good Looking,Suki Waterhouse,64,Good Looking,80,0.377,0.558,-9.076,1,4,0.0299,0.0789,0.000342,0.125,0.267,149.971,3,214800
INFERNO,Sub Urban,67,INFERNO,71,0.82,0.611,-5.02,0,9,0.122,0.0766,2.50E-05,0.0684,0.637,127.883,4,133134
Say So,Doja Cat,88,Hot Pink,80,0.787,0.673,-4.583,0,11,0.159,0.264,3.35E-06,0.0904,0.779,110.962,4,237893
Blinding Lights,The Weeknd,93,After Hours,90,0.514,0.73,-5.934,1,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,4,200040
Supalonely (feat. Gus Dapperton),BENEE,67,Hey u x,63,0.862,0.631,-4.746,1,7,0.0515,0.291,0.000209,0.123,0.841,128.978,4,223488
Savage,Megan Thee Stallion,82,Suga,70,0.843,0.741,-5.609,1,11,0.334,0.0252,0,0.096,0.68,168.983,4,155497
Moral of the Story,Ashe,68,Moral of the Story,76,0.572,0.406,-8.624,1,10,0.0427,0.587,4.48E-06,0.102,0.265,119.812,4,201084
Rain On Me (with Ariana Grande),Lady Gaga,84,Rain On Me (with Ariana Grande),74,0.672,0.855,-3.764,1,9,0.0397,0.021,0,0.323,0.646,123.056,4,182200
Babylon,Lady Gaga,84,Chromatica,64,0.698,0.799,-4.372,1,2,0.0342,0.0129,5.46E-06,0.215,0.351,115.957,4,161733
Replay,Lady Gaga,84,Chromatica,66,0.658,0.878,-3.875,1,1,0.123,0.00792,0,0.944,0.683,122.015,4,186653
My Oh My (feat. DaBaby),Camila Cabello,82,Romance,75,0.724,0.491,-6.024,1,8,0.0296,0.018,1.29E-05,0.0887,0.383,105.046,4,170746
Physical,Dua Lipa,88,Future Nostalgia,75,0.647,0.844,-3.756,1,0,0.0457,0.0137,0.000658,0.102,0.746,146.967,4,193829
Glitter,BENEE,67,FIRE ON MARZZ,66,0.801,0.589,-5.157,1,7,0.0485,0.0863,0,0.162,0.58,116.934,4,180147
Put Your Records On,Ritt Momney,60,Put Your Records On,77,0.399,0.491,-10.778,0,6,0.0538,0.0563,0.00089,0.11,0.151,91.066,4,210463
Stuck with U (with Justin Bieber),Ariana Grande,87,Stuck with U,82,0.597,0.45,-6.658,1,8,0.0418,0.223,0,0.382,0.537,178.765,3,228482
Break My Heart,Dua Lipa,88,Future Nostalgia,78,0.73,0.729,-3.434,0,4,0.0884,0.167,1.39E-06,0.349,0.467,113.011,4,221820
Selfish,Madison Beer,71,Life Support,66,0.375,0.461,-6.202,1,9,0.0279,0.627,0,0.386,0.233,75.217,4,223270
LEMONS - Demo,Brye,48,LEMONS (Demo),57,0.501,0.168,-13.682,0,4,0.304,0.901,0,0.134,0.514,82.574,4,193208
The Less I Know The Better,Tame Impala,78,Currents,84,0.64,0.74,-4.083,1,4,0.0284,0.0115,0.00678,0.167,0.785,116.879,4,216320
Buttercup,Jack Stauber,62,Pop Food,72,0.705,0.373,-9.066,1,7,0.0384,0.723,0.81,0.289,0.551,120.046,4,208026
Dissolve,Absofacto,56,Thousand Peaces,68,0.688,0.582,-10.668,0,6,0.0542,0.23,0.000157,0.0663,0.872,85.486,4,224661
Sunday Best,Surfaces,71,Where the Light Is,77,0.878,0.525,-6.832,1,5,0.0578,0.183,0,0.0714,0.694,112.022,4,158571
Airplane Mode,Limbo,50,Holo,0,0.665,0.373,-10.631,1,7,0.158,0.852,0.118,0.108,0.07,119.905,4,164113
Chinese New Year,SALES,61,Chinese New Year,66,0.744,0.845,-7.422,0,4,0.253,0.759,0.232,0.1,0.749,75.221,4,160000
LMK,Lil Xxel,51,LMK,65,0.748,0.457,-7.56,1,6,0.0465,0.0292,0.000294,0.444,0.464,123.035,4,188293
Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,29,Why Is Everything Chrome (Lean Swag Rock Wit It),46,0.915,0.392,-11.548,1,7,0.475,0.112,0,0.0319,0.675,139.94,4,151018
Figure It Out,Blu DeTiger,51,Figure It Out,54,0.747,0.554,-6.154,0,8,0.289,0.493,0.000425,0.332,0.585,96.988,4,164318
They Call Me Tiago (Her Name Is Margo),Tiagz,47,They Call Me Tiago (Her Name Is Margo),57,0.878,0.578,-7.581,1,0,0.0722,0.196,0.433,0.0965,0.148,100.996,4,154455
My Heart Went Oops,Tiagz,47,My Heart Went Oops,51,0.96,0.412,-11.281,1,1,0.607,0.119,0,0.0903,0.49,121.027,4,128926
Muffins In The Freezer,Tiagz,47,Muffins In The Freezer,47,0.965,0.412,-8.696,1,0,0.434,0.0778,1.12E-06,0.0867,0.486,120.03,4,106016
Beggin',Madcon,61,Conquest,61,0.715,0.796,-4.889,0,4,0.0534,0.0284,0,0.0658,0.431,129.04,4,218707
Kolors,monte booker,47,Soulection White Label - Monte Booker,56,0.718,0.403,-11.064,0,2,0.205,0.263,1.56E-06,0.228,0.636,129.582,4,177856
Play Date,Melanie Martinez,78,Cry Baby (Deluxe Edition),78,0.68,0.729,-5.077,1,5,0.0475,0.612,0,0.224,0.446,123.97,4,179867
Ride It,Regard,71,Ride It,81,0.88,0.751,-4.258,0,7,0.0874,0.177,6.43E-05,0.106,0.884,117.948,4,157606
No Idea,Don Toliver,78,No Idea,2,0.651,0.631,-5.717,0,6,0.0896,0.519,0.000579,0.165,0.35,127.994,4,154424
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,83,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),54,0.92,0.833,-3.18,1,1,0.253,0.0277,0,0.0596,0.645,141.034,4,165726
Cannibal,Kesha,76,Cannibal (Expanded Edition),66,0.71,0.68,-4.676,1,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,4,194253
Lottery (Renegade),K CAMP,63,Wayy 2 Kritical,56,0.915,0.556,-8.601,1,1,0.216,0.0145,0.000179,0.0733,0.67,148.964,4,170947
Bad Boy,Yung Bae,57,Bad Boy,62,0.861,0.82,-4.807,0,1,0.0728,0.032,4.76E-06,0.0706,0.781,118.04,4,187571
Hard Times,Paramore,75,After Laughter,73,0.695,0.818,-5.379,0,5,0.0334,0.00647,4.87E-06,0.0219,0.916,119.965,4,182693
death bed (coffee for your head),Powfu,71,death bed (coffee for your head),82,0.726,0.431,-8.765,0,8,0.135,0.731,0,0.696,0.348,144.026,4,173333
Backyard Boy,Claire Rosinkranz,63,Backyard Boy (Stripped),70,0.817,0.635,-7.246,1,5,0.163,0.323,0,0.0738,0.454,138.015,4,129241
cardigan,Taylor Swift,93,folklore,79,0.613,0.581,-8.588,0,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4,239560
Beef FloMix,Flo Milli,67,"Ho, why is you here ?",62,0.879,0.733,-3.953,0,11,0.142,0.216,0,0.274,0.913,117.039,4,147692
Psycho!,MASN,60,How To Kill A Rockstar,68,0.876,0.312,-10.17,1,7,0.0521,0.443,0,0.247,0.377,114.973,4,197217
Party Girl,StaySolidRocky,59,Party Girl,71,0.728,0.431,-9.966,0,6,0.0622,0.749,0,0.0996,0.629,130.022,4,147800
Electric Love,BØRNS,67,Dopamine,82,0.611,0.797,-7.627,0,6,0.0533,0.00543,0.00137,0.26,0.518,120.041,4,218107
Producer Man,Lyn Lapid,61,Producer Man,62,0.66,0.639,-5.364,0,10,0.223,0.129,0,0.256,0.75,173.994,4,141673
ily (i love you baby) (feat. Emilee),Surf Mesa,64,ily (i love you baby) (feat. Emilee),78,0.674,0.774,-7.567,0,11,0.0892,0.0686,0.00188,0.393,0.33,112.05,4,176547
Mariposa,Peach Tree Rascals,60,Mariposa,74,0.676,0.525,-5.88,1,9,0.028,0.617,0,0.356,0.421,112.011,4,210000
FML,Arizona Zervas,66,Living Facts,0,0.816,0.59,-5.961,0,2,0.121,0.0854,0,0.108,0.612,100.137,4,222961
Savage Love (Laxed - Siren Beat),Jawsh 685,63,Savage Love (Laxed - Siren Beat),77,0.767,0.481,-8.52,0,0,0.0803,0.234,0,0.269,0.761,150.076,4,171375
Stunnin',Curtis Waters,53,Stunnin',2,0.906,0.604,-8.332,0,11,0.0746,0.329,0,0.255,0.899,99.996,4,144013
Deep End,Fousheé,65,Deep End,68,0.711,0.592,-7.136,0,4,0.23,0.758,0,0.156,0.535,124.749,4,141224
Freak,Doja Cat,88,Freak,72,0.688,0.716,-5.702,1,7,0.0385,0.0969,0,0.0989,0.373,116.912,3,284480
Funny Thing,Thundercat,69,It Is What It Is,72,0.586,0.893,-8.772,1,7,0.439,0.827,0.642,0.212,0.65,140.023,3,116630
Money Trees,Kendrick Lamar,88,"good kid, m.A.A.d city",79,0.716,0.531,-7.355,1,7,0.122,0.0703,0,0.224,0.344,71.994,4,386907
Wait a Minute!,WILLOW,76,ARDIPITHECUS,86,0.764,0.705,-5.279,0,3,0.0278,0.0371,1.94E-05,0.0943,0.672,101.003,4,196520
Eyes Blue Like The Atlantic,Sista Prod,56,Eyes Blue Like The Atlantic,0,0.736,0.279,-16.926,0,9,0.903,0.65,0.000312,0.246,0.476,76.431,4,154550
Mood (feat. iann dior),24kGoldn,74,El Dorado,83,0.701,0.716,-3.671,0,7,0.0361,0.174,0,0.324,0.732,91.007,4,140533
Mad at Disney,salem ilese,66,Mad at Disney,72,0.738,0.621,-7.313,1,0,0.0486,0.424,7.39E-06,0.692,0.715,113.968,4,136839
Boss Bitch,Doja Cat,88,Boss Bitch,78,0.707,0.955,-4.593,0,10,0.222,0.127,0,0.202,0.575,125.989,4,134240
Falling,Trevor Daniel,66,Falling,15,0.785,0.431,-8.756,0,10,0.0364,0.123,0,0.0887,0.236,127.085,4,159382
Moon (And It Went Like),Kid Francescoli,56,Play Me Again,66,0.662,0.657,-10.002,1,7,0.0345,0.288,0.856,0.102,0.0584,117.986,4,390639
Just Fine,Mary J. Blige,70,Growing Pains,62,0.923,0.795,-3.61,0,11,0.117,0.0394,0.000565,0.101,0.588,123.021,4,242133
Smile,Lily Allen,67,"Alright, Still (Deluxe)",71,0.632,0.639,-5.938,1,5,0.0259,0.00143,0,0.221,0.733,95.506,4,196893
Bulletproof,La Roux,65,La Roux,71,0.674,0.882,-2.771,0,3,0.0477,0.000441,6.47E-05,0.068,0.682,123.016,4,205733
Heather,Conan Gray,81,Kid Krow,86,0.357,0.425,-7.301,1,5,0.0333,0.584,0,0.322,0.27,102.078,3,198040
Juicy,Doja Cat,88,Hot Pink,73,0.785,0.652,-2.607,1,0,0.0668,0.102,0,0.0697,0.484,170.024,4,203093
Blueberry Faygo,Lil Mosey,70,Certified Hitmaker,75,0.774,0.554,-7.909,1,0,0.0383,0.207,0,0.132,0.349,99.034,4,162547
American Boy,Estelle,65,Shine,78,0.727,0.729,-2.99,1,0,0.326,0.171,0,0.07,0.512,117.932,4,284733
Can't Stop Singing,Ross Lynch,62,Teen Beach Movie,60,0.513,0.69,-4.986,1,0,0.0341,0.51,0,0.102,0.777,96.881,4,145920
Like That (feat. Gucci Mane),Doja Cat,88,Hot Pink,46,0.874,0.487,-6.032,1,2,0.194,0.237,0,0.0978,0.371,106.052,4,163173
Gimme Love,Joji,85,Nectar,65,0.484,0.632,-6.917,1,5,0.0976,0.695,0.0243,0.209,0.0736,126.384,3,214558
Mine,Bazzi,72,COSMIC,24,0.719,0.803,-3.834,1,4,0.0795,0.0148,4.00E-06,0.29,0.712,142.966,4,133995
What They Want,Russ,77,There's Really A Wolf,72,0.71,0.404,-10.04,0,1,0.379,0.484,0,0.0953,0.398,139.553,4,165853
La La La,Naughty Boy,60,La La La,58,0.754,0.677,-4.399,0,6,0.0316,0.112,0,0.111,0.254,124.988,4,220779
ROXANNE,Arizona Zervas,66,ROXANNE,78,0.621,0.601,-5.616,0,6,0.148,0.0522,0,0.46,0.457,116.735,5,163636
Homage,Mild High Club,62,Skiptracing,0,0.546,0.468,-8.167,1,5,0.0287,0.153,0.00257,0.321,0.416,73.372,4,177493
Opaul,Freddie Dredd,72,Opaul,63,0.822,0.871,-4.095,1,1,0.214,0.00567,0.391,0.101,0.648,145.062,4,140527
"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",Jodi Benson,53,The Little Mermaid,60,0.387,0.132,-15.142,1,5,0.0386,0.914,0.000707,0.281,0.323,100,4,195493
Relationship (feat. Future),Young Thug,84,Beautiful Thugger Girls,69,0.842,0.597,-6.336,1,2,0.0627,0.00252,0,0.124,0.298,145.992,4,215307
Borderline,Tame Impala,78,The Slow Rush,78,0.621,0.873,-3.067,0,5,0.0369,0.0406,9.10E-06,0.0824,0.873,97.96,4,237800
Renee,SALES,61,Renee,65,0.924,0.386,-8.183,1,9,0.0548,0.755,0.00253,0.118,0.424,108.957,4,179125
Don't Start Now,Dua Lipa,88,Don't Start Now,79,0.794,0.793,-4.521,0,11,0.0842,0.0125,0,0.0952,0.677,123.941,4,183290
Freak (feat. REI AMI),Sub Urban,67,Thrill Seeker,69,0.619,0.45,-11.965,0,7,0.515,0.433,0,0.513,0.41,179.755,4,194000
Candy,Doja Cat,88,Amala,71,0.689,0.516,-5.857,1,8,0.0444,0.513,0,0.163,0.209,124.876,4,190920
Ophelia,The Lumineers,76,Cleopatra,77,0.664,0.573,-6.519,1,5,0.0277,0.613,0.000363,0.0857,0.566,76.023,4,160097
Violent Crimes,Kanye West,90,ye,0,0.665,0.417,-6.731,0,1,0.524,0.374,0,0.186,0.04,110.111,4,215320
Someone To You,BANNERS,65,Someone To You,0,0.511,0.93,-3.649,1,2,0.0441,0.0056,0,0.242,0.673,75.01,4,219813
Plastic Hearts,Miley Cyrus,81,Plastic Hearts,70,0.551,0.756,-4.948,1,2,0.0652,0.0511,0,0.0765,0.618,175.984,4,205733
Primadonna,MARINA,73,Electra Heart,50,0.66,0.689,-2.671,0,4,0.0337,0.0884,0,0.0922,0.427,127.98,4,221075
Check It Out,will.i.am,72,Pink Friday (Complete Edition),53,0.848,0.694,-4.272,1,1,0.0572,0.0493,1.15E-05,0.105,0.728,130.075,4,251013
Hood Baby,KBFR,36,Hood Baby,53,0.974,0.472,-11.848,0,11,0.447,0.0488,0.000157,0.116,0.806,126.065,4,110063
Shoota (feat. Lil Uzi Vert),Playboi Carti,82,Die Lit,79,0.673,0.649,-8.433,0,1,0.196,0.188,0,0.122,0.47,153.075,4,153800
I Just Want to Be the One You Love,Boxout,44,I Just Want to Be the One You Love,62,0.497,0.349,-8.749,0,9,0.0877,0.967,0.037,0.228,0.251,140.551,1,80842
Make You Mine,PUBLIC,61,Make You Mine,77,0.606,0.799,-4.452,1,9,0.0261,0.0128,0,0.15,0.638,103.014,4,232907
To Be So Lonely,Harry Styles,91,Fine Line,73,0.758,0.436,-7.269,1,0,0.0418,0.618,1.61E-05,0.335,0.605,104.959,4,192080
Hotel Room Service,Pitbull,82,Hotel Room Service,63,0.849,0.599,-8.164,1,6,0.227,0.00301,0.000249,0.0763,0.761,126.003,4,238507
M to the B,Millie B,40,M to the B,58,0.897,0.513,-6.973,0,10,0.309,0.571,0,0.101,0.692,139.935,4,137744
Say So (feat. Nicki Minaj),Doja Cat,88,Say So (feat. Nicki Minaj),65,0.856,0.641,-4.64,0,11,0.204,0.119,4.97E-06,0.427,0.745,111.004,4,206221
What's My Name?,Rihanna,87,Loud,54,0.69,0.786,-2.959,1,2,0.0692,0.229,0,0.0797,0.583,100.049,4,263173
